"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"lovingly photographed in the manner of a golden book sprung to life , stuart little 2 [[manages]] sweetness [[largely]] without stickiness .","lovingly photographed in the manner of a golden book sprung to life , stuart little 2 [[administer]] sweetness [[essentially]] without stickiness .",0.0016077160835266113,0.7227509021759033,1,0,1,242,"Successful"
"[[consistently]] [[clever]] and suspenseful .","[[constantly]] [[intelligent]] and suspenseful .",0.000847935676574707,0.0009369254112243652,1,1,1,19,"Failed"
"it's like a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political activists .","it's like a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political activists .",0.8357146978378296,0.8357146978378296,0,0,1,1,"Skipped"
"the story [[gives]] ample [[opportunity]] for large-scale [[action]] and suspense , which director shekhar kapur supplies with [[tremendous]] [[skill]] .","the story [[provides]] ample [[possibility]] for large-scale [[activity]] and suspense , which director shekhar kapur supplies with [[whopping]] [[competency]] .",0.001867830753326416,0.006921231746673584,1,1,1,1220,"Failed"
"red dragon "" never cuts corners .","red dragon "" never cuts corners .",0.9904546141624451,0.9904546141624451,0,0,1,1,"Skipped"
"fresnadillo has something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense .","fresnadillo has something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense .",0.9546936750411987,0.9546936750411987,0,0,1,1,"Skipped"
"throws in enough clever and [[unexpected]] twists to make the formula feel fresh .","throws in enough clever and [[unscheduled]] twists to make the formula feel fresh .",0.0009319186210632324,0.0015951991081237793,1,1,1,8,"Failed"
"weighty and ponderous but every bit as filling as the treat of the title .","weighty and ponderous but every bit as filling as the treat of the title .",0.9482890367507935,0.9482890367507935,0,0,1,1,"Skipped"
"a [[real]] audience-pleaser that [[will]] [[strike]] a chord with anyone who's ever waited in a doctor's office , [[emergency]] [[room]] , hospital bed or insurance [[company]] office .","a [[actual]] audience-pleaser that [[volition]] [[hit]] a chord with anyone who's ever waited in a doctor's office , [[emergencies]] [[rooms]] , hospital bed or insurance [[enterprises]] office .",0.002129077911376953,0.0018224716186523438,1,1,1,788,"Failed"
"[[generates]] an [[enormous]] feeling of [[empathy]] for its [[characters]] .","[[produces]] an [[tremendous]] feeling of [[sympathy]] for its [[character]] .",0.00045043230056762695,0.0009872913360595703,1,1,1,258,"Failed"
"exposing the [[ways]] we fool ourselves is one hour photo's real strength .","exposing the [[pathways]] we fool ourselves is one hour photo's real strength .",0.0004437565803527832,0.00046193599700927734,1,1,1,2,"Failed"
"it's up to you to decide whether to admire these people's dedication to their cause or be repelled by their dogmatism , manipulativeness and [[narrow]] , fearful view of american life .","it's up to you to decide whether to admire these people's dedication to their cause or be repelled by their dogmatism , manipulativeness and [[limited]] , fearful view of american life .",0.043951451778411865,0.8333038091659546,1,0,1,12,"Successful"
"mostly , [goldbacher] just lets her [[complicated]] [[characters]] be unruly , [[confusing]] and , through it all , human .","mostly , [goldbacher] just lets her [[complicate]] [[traits]] be unruly , [[bewildering]] and , through it all , human .",0.0035721659660339355,0.0024217963218688965,1,1,1,64,"Failed"
". . . [[quite]] good at [[providing]] some good [[old]] fashioned spooks .",". . . [[pretty]] good at [[offering]] some good [[elderly]] fashioned spooks .",0.00656735897064209,0.024794697761535645,1,1,1,46,"Failed"
"at its worst , the movie is pretty diverting ; the pity is that it rarely achieves its best .","at its worst , the movie is pretty diverting ; the pity is that it rarely achieves its best .",0.9916623830795288,0.9916623830795288,0,0,1,1,"Skipped"
"scherfig's light-hearted [[profile]] of [[emotional]] [[desperation]] is achingly honest and [[delightfully]] cheeky .","scherfig's light-hearted [[profiling]] of [[sentimental]] [[hopelessness]] is achingly honest and [[refreshingly]] cheeky .",0.0009391903877258301,0.0026682615280151367,1,1,1,264,"Failed"
"a [[journey]] spanning [[nearly]] three decades of bittersweet [[camaraderie]] and [[history]] , in which we feel that we [[truly]] know what makes holly and marina [[tick]] , and our hearts go out to them as both [[continue]] to [[negotiate]] their [[imperfect]] , love-hate [[relationship]] .","a [[trip]] spanning [[almost]] three decades of bittersweet [[comradeship]] and [[histories]] , in which we feel that we [[genuinely]] know what makes holly and marina [[ticking]] , and our hearts go out to them as both [[continuing]] to [[bargain]] their [[flawed]] , love-hate [[relationships]] .",0.0004743337631225586,0.0004961490631103516,1,1,1,2947,"Failed"
"the [[wonderfully]] lush morvern callar is pure punk existentialism , and ms . ramsay and her co-writer , liana dognini , have dramatized the alan warner novel , which itself felt like an [[answer]] to irvine welsh's book trainspotting .","the [[divinely]] lush morvern callar is pure punk existentialism , and ms . ramsay and her co-writer , liana dognini , have dramatized the alan warner novel , which itself felt like an [[replying]] to irvine welsh's book trainspotting .",0.0008034110069274902,0.5647459030151367,1,0,1,302,"Successful"
"as it turns out , you can go home again .","as it turns out , you can go home again .",0.0026444196701049805,0.0026444196701049805,1,1,1,1,"Failed"
"you've already seen city by the sea under a variety of titles , but it's worth yet another [[visit]] .","you've already seen city by the sea under a variety of titles , but it's worth yet another [[visits]] .",0.007079780101776123,0.006235897541046143,1,1,1,2,"Failed"
"this [[kind]] of hands-on storytelling is [[ultimately]] what makes shanghai ghetto move beyond a good , [[dry]] , [[reliable]] [[textbook]] and what [[allows]] it to [[rank]] with its worthy predecessors .","this [[kinds]] of hands-on storytelling is [[finally]] what makes shanghai ghetto move beyond a good , [[drier]] , [[dependable]] [[manuals]] and what [[enables]] it to [[rankings]] with its worthy predecessors .",0.0011088252067565918,0.0012643933296203613,1,1,1,2233,"Failed"
"making such a tragedy the backdrop to a love story risks trivializing it , though chouraqui no doubt intended the film to affirm love's power to help people endure almost unimaginable horror .","making such a tragedy the backdrop to a love story risks trivializing it , though chouraqui no doubt intended the film to affirm love's power to help people endure almost unimaginable horror .",0.9852627515792847,0.9852627515792847,0,0,1,1,"Skipped"
"grown-up quibbles are beside the point here . the little girls [[understand]] , and mccracken knows that's all that [[matters]] .","grown-up quibbles are beside the point here . the little girls [[fathom]] , and mccracken knows that's all that [[issues]] .",0.02947932481765747,0.8860577344894409,1,0,1,36,"Successful"
"a [[powerful]] , chilling , and [[affecting]] [[study]] of one man's dying fall .","a [[potent]] , chilling , and [[impacting]] [[studying]] of one man's dying fall .",0.0005972385406494141,0.0004864931106567383,1,1,1,65,"Failed"
"this is a [[fascinating]] [[film]] because there is no clear-cut hero and no all-out villain .","this is a [[enthralling]] [[movie]] because there is no clear-cut hero and no all-out villain .",0.0010092854499816895,0.0016148090362548828,1,1,1,44,"Failed"
"a dreadful day in irish history is given [[passionate]] , if somewhat [[flawed]] , treatment .","a dreadful day in irish history is given [[ardent]] , if somewhat [[imperfect]] , treatment .",0.0011037588119506836,0.7484204769134521,1,0,1,200,"Successful"
". . . a good film that must have baffled the folks in the marketing department .",". . . a good film that must have baffled the folks in the marketing department .",0.8600407838821411,0.8600407838821411,0,0,1,1,"Skipped"
". . . is funny in the [[way]] that makes you ache with [[sadness]] ( the [[way]] chekhov is funny ) , [[profound]] without ever being self-important , [[warm]] without ever succumbing to sentimentality .",". . . is funny in the [[manner]] that makes you ache with [[grief]] ( the [[manner]] chekhov is funny ) , [[deep]] without ever being self-important , [[warming]] without ever succumbing to sentimentality .",0.0018047690391540527,0.0014000535011291504,1,1,1,359,"Failed"
"devotees of star trek ii : the wrath of khan will feel a nagging sense of deja vu , and the grandeur of the best next generation episodes is lacking .","devotees of star trek ii : the wrath of khan will feel a nagging sense of deja vu , and the grandeur of the best next generation episodes is lacking .",0.9990664124488831,0.9990664124488831,0,0,1,1,"Skipped"
"a soul-stirring documentary about the [[israeli]]/[[palestinian]] [[conflict]] as [[revealed]] through the eyes of some [[children]] who remain [[curious]] about each other against all odds .","a soul-stirring documentary about the [[israelis]]/[[palestinians]] [[disputes]] as [[disclosed]] through the eyes of some [[kids]] who remain [[nosy]] about each other against all odds .",0.00035190582275390625,0.00042241811752319336,1,1,1,783,"Failed"
"what's so [[striking]] about jolie's performance is that she never lets her character become a caricature -- not even with that [[radioactive]] [[hair]] .","what's so [[startling]] about jolie's performance is that she never lets her character become a caricature -- not even with that [[radiological]] [[hairstyle]] .",0.0049201250076293945,0.006187319755554199,1,1,1,130,"Failed"
"the main story . . . is compelling enough , but it's difficult to shrug off the annoyance of that chatty fish .","the main story . . . is compelling enough , but it's difficult to shrug off the annoyance of that chatty fish .",0.9984566569328308,0.9984566569328308,0,0,1,1,"Skipped"
"the performances are [[immaculate]] , with roussillon providing comic relief .","the performances are [[spotless]] , with roussillon providing comic relief .",0.005699634552001953,0.996551513671875,1,0,1,7,"Successful"
"kinnear . . . gives his best screen performance with an [[oddly]] [[winning]] [[portrayal]] of one of life's ultimate losers .","kinnear . . . gives his best screen performance with an [[strangely]] [[victorious]] [[depiction]] of one of life's ultimate losers .",0.00268632173538208,0.002661406993865967,1,1,1,112,"Failed"
"hugh [[grant]] , who has a good line in [[charm]] , has never been more [[charming]] than in about a [[boy]] .","hugh [[granting]] , who has a good line in [[glamour]] , has never been more [[lovely]] than in about a [[boys]] .",0.007277071475982666,0.05686706304550171,1,1,1,282,"Failed"
"there's a [[lot]] of tooth in roger dodger . but what's nice is that there's a [[casual]] intelligence that [[permeates]] the script .","there's a [[batch]] of tooth in roger dodger . but what's nice is that there's a [[occasional]] intelligence that [[pervades]] the script .",0.0076233744621276855,0.008399367332458496,1,1,1,27,"Failed"
